Text,Label
About what proportion of the population of the US is living on farms?,Knowledge
Correctly label the brain lobes indicated on the diagram below,Knowledge
Define compound interest.,Knowledge
Define four types of traceability.,Knowledge
Define mercantilism.,Knowledge
"Define stream bank, floodplain and substrate.",Knowledge
Define the meaning of the Olympic Motto.,Knowledge
Draw and label a diagram of a typical stream.,Knowledge
Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
Draw the block diagram of the central processing unit,Knowledge
Draw the flow chart of the PNK system,Knowledge
How many instructions in the instruction set of RISC computer?,Knowledge
How many kilometers from your home to the university,Knowledge
How many loop statement available in c++?,Knowledge
How many states are there in USA,Knowledge
How many years does this animal live?,Knowledge
How much data can be stored in the cach memory,Knowledge
How much did he pay for his car,Knowledge
How much is your weight,Knowledge
How much time did he took to build a house,Knowledge
How much water does an elephant drink,Knowledge
Identify a phrase as a simile,Knowledge
"Identify a property (commutative, additive, etc)",Knowledge
Identify fractions from a pictorial representation,Knowledge
Identify ordinal positions,Knowledge
Identify the correct definition of osmosis.,Knowledge
Identify the five major prophets of the Old Testament.,Knowledge
Identify the part of a eukaryotic cell.,Knowledge
Identify the standard peripheral components of a computer.,Knowledge
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge
in which continent does the state of suriname fall,Knowledge
in which countries is arabic language spoken,Knowledge
In Which part of the world does he live,Knowledge
Label any Olympic sporting apparatus with design features.,Knowledge
Label the parts of the following insects: Grasshopper,Knowledge
Label the parts of the microscope shown on the right,Knowledge
List four types of clauses mentioned in the article,Knowledge
List reserved words in C programming.,Knowledge
List the characteristics peculiar to the Cubist movement.,Knowledge
List the levels in Bloom's Taxonomy.,Knowledge
List the procedure to draw a mixed potential or Evans' diagram,Knowledge
List the steps involved in titration.,Knowledge
List three characteristics that are unique to the Cubist movement.,Knowledge
List three predominant economic systems that exist,Knowledge
Look at the symbol. What is the symbol’s purpose on a map?,Knowledge
Make a list of facts you learned from the story.,Knowledge
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Knowledge
Name the artist who painted the Mona Lisa.,Knowledge
Name the food groups and at least two items of food in each group.,Knowledge
Name the four major food groups.,Knowledge
Name the main characters in the story.,Knowledge
Name the property that states that,Knowledge
Please label the diagram below:,Knowledge
Recall basic math facts,Knowledge
Recall locations of a historical events,Knowledge
Recall the definition of the formula datatype from your assignment 2.,Knowledge
Recall the equation for the Ideal Gas Law.,Knowledge
Recall the following pictoral example of an implementation of some queue operations,Knowledge
recall the supply voltage constraints,Knowledge
Recite a policy of immigration in Europe .,Knowledge
"Recite the poem ""Auto Wreck"".",Knowledge
Recite the principles of the Data Protection Act.,Knowledge
Recite the the Gaussian law,Knowledge
State four attributes of well engineered software.,Knowledge
State how to find a word in a dictionary,Knowledge
State the characteristics of each type of corrosion testing studied,Knowledge
State the definition of application in Bloom's Taxonomy.,Knowledge
State the formula for the area of a circle,Knowledge
State the guidelines to design an anodic protection system,Knowledge
State the pattern for expressing time in French.,Knowledge
State the rule for balls and strikes in baseball.,Knowledge
State the rule for using a semicolon in a sentence.,Knowledge
What are major facts about particular cultures and societies,Knowledge
What are the major products and exports of countries,Knowledge
What are the representational symbols on maps and charts,Knowledge
What are the structure or functions of Congress,Knowledge
What are the units of corrosion penetration rates? Relate these to Faraday's law,Knowledge
What does ICT stands for.,Knowledge
What is your family name,Knowledge
What is a global variable?,Knowledge
What is a textual index,Knowledge
What is the setting of To Kill a Mockingbird?,Knowledge
What is the title of the first movie you saw,Knowledge
What season are we in right now?,Knowledge
when did saudi arabia start using internet,Knowledge
when did the first saudi radio station open,Knowledge
When did the second world war happen,Knowledge
When did you born ?,Knowledge
when was the first airport in the yemen built,Knowledge
when was the UN formed,Knowledge
Which of the following is the method for determining the volume of a cylinder?,Knowledge
Which of the following item does not belong to the set ?,Knowledge
Which of the two liquids is hypotonic,Knowledge
which part of a data packet is used by a router to determine the destination network,Knowledge
Which technology is used by laser printer,Knowledge
Who is the first president of USA,Knowledge
who is the founder of the kingdom of saudi Arabia,Knowledge
who was the first man on the moon,Knowledge
who was the first to compose in the arts of makamat,Knowledge
Who was the writer of the Hamilton,Knowledge
Compare Calliope with Howie. Use the word bank.,Comprehension
Compare historical events to contemporary situations,Comprehension
Complete an analogy (analogy tasks are inference tasks),Comprehension
Describe 4 types of coupling in software design.,Comprehension
Describe how Phillip and Timothy survived on the Cay.,Comprehension
Describe in prose what is shown in graph form.,Comprehension
Describe in your own words how to borrow a book from the library.,Comprehension
Describe in your own words how to copy text from one program into another.,Comprehension
Describe in your own words what happens when a stream's velocity slows.,Comprehension
Describe in your own words what is meant by a sprained ankle.,Comprehension
Describe nuclear transport to a lay person.,Comprehension
Describe the Pareto Principle in statistical software quality assurance.,Comprehension
Describe what goes in each of the four areas on the first page of notes,Comprehension
Describe what took place as the Hato was sinking.,Comprehension
Describe how the linear polarization method can yield corrosion rates,Comprehension
Describe the major clinical differences between visceral and somatic pain,Comprehension
Briefly describe the author's approach to the liabilities of the GOTO statement,Comprehension
Describe what happened at...?,Comprehension
Determine the author’s point of view,Comprehension
Determine the next number in a sequence,Comprehension
Discuss the nature of socialism.,Comprehension
Explain how Timothy saved Phillip's life.,Comprehension
Explain in one's own words how to create a query in a database.,Comprehension
Explain in your own words what a recessive gene is.,Comprehension
Explain in your own words what do you mean by the term economics?,Comprehension
Explain in your own words what is meant by mercantilism.,Comprehension
Explain the causes of historical events,Comprehension
Explain the communicative property.,Comprehension
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Comprehension
Explain the possible uses described in class for the space to the left of the vertical line.,Comprehension
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
Explain what a poem means.,Comprehension
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension
Express your opinion of 'Drugs in Sport' through poetry.,Comprehension
From a blueprint to describe the article depicted.,Comprehension
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators",Comprehension
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
Illustrate what you think the main idea was.,Comprehension
In one sentence explain the main idea of a written passage.,Comprehension
In one sentence illustrate the main point of a written passage.,Comprehension
Interpret the pictures.,Comprehension
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Comprehension
Outline the most important insight of the tale.,Comprehension
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Comprehension
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
Paraphrase an important speech,Comprehension
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension
Paraphrase the poem in your own words,Comprehension
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
Describe the output of this program fragment:,Comprehension
Classify types of corrosion inhibitors,Comprehension
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
"Classify the following substances as particle, atom, element, molecule, compound",Comprehension
How would you classify the geographic location of your school,Comprehension
Classify animals into two groups.,Comprehension
Classify celebrations into family and community categories.,Comprehension
Classify frogs toads and other amphibians.,Comprehension
Restate main idea of story in own words.,Comprehension
Restate the Olympic motto in your own words.,Comprehension
Retell the story in your words.,Comprehension
Rewrite the principles of test writing.,Comprehension
Rewrite you predicted equation for the ideal gas law,Comprehension
Rewrite the markov matrix to account for this slight change.,Comprehension
"Rewrite the sentence in your head, following the direction given below",Comprehension
Rewrite a part in the poem using a different speaker,Comprehension
Select the best title for a passage,Comprehension
State in your own words the rule for balls and strikes in baseball.,Comprehension
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Comprehension
Can you state in your own words what the problem is asking you to do,Comprehension
State in your own words what the author means when he says,Comprehension
Summarize a historical document,Comprehension
Summarize a story in own words.,Comprehension
Summarize Jem’s beliefs about Boo Radley,Comprehension
Summarize the basic tenets of collaborative conservation.,Comprehension
Summarize the basic tenets of deconstructionism.,Comprehension
Summarize this magazine article.,Comprehension
Tell how Phillip kept himself alive after Timothy died.,Comprehension
Tell in your own words how the setting of the story made it more interesting.,Comprehension
Tell in your own words the beginning of the book.,Comprehension
"In your own words, tell what is meant by the definition of an isosceles triangle.",Comprehension
"In your own words, how would you define transferable skills",Comprehension
Translate a written text aloud from L2 to English.,Comprehension
Translate an equation into a computer spreadsheet.,Comprehension
Translate an equation into a spreadsheet formula.,Comprehension
Translate the following passage from The Iliad into English.,Comprehension
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.,Comprehension
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension
Express the rule in function notation,Comprehension
Express the following systems in matrix form,Comprehension
Express the following percentages as fractions in simplest form,Comprehension
Explain the whole method of crushing,Comprehension
"In your own words, how would you summarize the story up",Comprehension
Summarize the main point of these two texts in your own words,Comprehension
Outline the aim of two studies within the,Comprehension
Outline your experience in working with service users,Comprehension
Apply laws of statistics to evaluate the reliability of a written test.,Application
Apply shading to produce depth in drawing.,Application
Apply the rule of law to a new situation,Application
Apply the storytelling technique here to a little story of your own.,Application
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application
Show the value of x after running this program fragment,Application
Calculate for x in the following equation: 12x=36,Application
Calculate the deflection of a beam under uniform loading.,Application
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,Application
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application
Can you apply the method used to some experience of your own . . .?,Application
Can you group by characteristics such as . . .?,Application
Categorise the pictures and add them to the wall display.,Application
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
Compute the area of actual circles.,Application
Compute the volume of a cylinder,Application
Construct a model to demonstrate how it will work.,Application
Demonstrate how the seasons occur.,Application
Demonstrate how this could work in an industry setting?,Application
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Application
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,Application
Derive a kinetic model from experimental data.,Application
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Application
Construct a market strategy for your product using a known strategy as a model.,Application
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Application
"Draw 3 pictures showing the beginning, middle and ending of the story.",Application
Draw a picture of the bears' house.,Application
Draw a picture of the gown Cinderella wore to the ball.,Application
"From the information given, can you develop a set of instructions about . . .?",Application
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Application
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
"If notes are available on the professor’s website, how should those notes be used?",Application
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Application
Make a diorama to illustrate an important event.,Application
Make a paper-mache map to include relevant information about an event.,Application
Make a scrapbook about the areas of study.,Application
Make up a puzzle game using the ideas from the study area.,Application
Model an Olympic Village for the new Millenium.,Application
Participate in a mock election,Application
Predict what happens to X if Y increases.,Application
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application
Relate the principle of reinforcement to classroom interactions.,Application
Relate topographic map to field features,Application
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application
How would you relate position concept with position strategy,Application
"Show, through role-play, the final scene in the novel.",Application
Solve a math problem using familiar procedure or formula,Application
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
Would you solve these two problems using similar approaches,Application
Use Laplace to solve the following problems,Application
Can you solve the following problem,Application
How to specify the impact energy and impact test temperature of the material in the Code,Application
Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Application
Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Application
How does one specify the syntactical restrictions,Application
Specify a deterministic finite automaton (DFA) recognizing the,Application
Take a collection of photographs to demonstrate a particular point.,Application
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Application
Use a manual to calculate an employee's vacation time.,Application
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
Use the rule for a semicolon in a sentence.,Application
What factors would you change if . . .?,Application
What questions would you ask if . . .?,Application
Who can use what we know about sonnets and finish this poem?,Application
Would this information be useful if you had a . . .?,Application
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Application
Sketch a typical absorption process in a packed column with regeneration in form of,Application
sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,Application
How do teenagers use code in emails and instant messages?,Application
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application
Use tableau methods to prove that the following tableau is valid.,Application
Use a sketch too find the exact value of each expression,Application
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,Application
What happens if you restrict a determinental process to a subset R S?,Application
What would happen if the rainfall doubled in your state next year,Application
What happens if you change the direction of the displacement (but not its size)?,Application
What would you do if a heavy growth of bacteria had occurred,Application
What would result if …,Application
What approach would you use to prove the truth of the below statement,Application
Construct one Turing Machine for computing each of the following functions,Application
Construct a Venn diagram to determine the validity of the given argument.,Application
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application
"How can we construct H given I, B and E?",Application
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Application
How do you construct foliations on a given manifold M?,Application
How to Construct the Optimal Maintenance Problem,Application
How to construct simple solutions when problems are complex?,Application
Construct the 4-Bit Ripple carry Adder Circuit,Application
Construct an analog circuit with the following specifications,Application
Construct the Data Path of the RISC Processor given in the previous question,Application
How do we construct agents that can deliver. “good” assistance,Application
How to construct the selected information system,Application
Show how they have used creative writing strategies appropriate to the format,Application
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application
Show how E-CRM can be used to improve marketing positioning as explained in the article,Application
How would you show your understanding of the ABC process,Application
Show me how you would check the brake lights are working on this car,Application
Analyze safe and dangerous aspects of these features.,Analysis
Analyze the characteristics of frogs.,Analysis
Analyze the movements and sounds of a frog.,Analysis
"Analyze the problem, identifying its variables.",Analysis
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysis
Break down the main actions of the story.,Analysis
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
Can you compare your . . . with that presented in . . .?,Analysis
Can you distinguish between . . .?,Analysis
Can you explain what must have happened when . . .?,Analysis
Can you find four different feelings Pa Lia had during the story?,Analysis
Compare and contrast animals that the class has made.,Analysis
Compare and contrast our school to other communities.,Analysis
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analysis
Compare and contrast the waterfall model with the prototyping model.,Analysis
Compare and contrast two characters in the book.,Analysis
Compare fall and spring,Analysis
Compare herbatious and carnivorous animals on a Venn diagram.,Analysis
Compare how different children come to school.,Analysis
Compare the place where the story happened with where you live.,Analysis
Compare this book to the last book you read.,Analysis
