Text,Label
Compare three celebrations using a Venn diagram.,Analysis
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
Compare two of the characters in this book.,Analysis
Conduct an investigation to produce information to support a view.,Analysis
Contrast building in the coastal zone with building in a river floodplain.,Analysis
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis
Differentiate between .call by value and call by reference.,Analysis
Differentiate printf function calls for displaying prompts and for echoing data.,Analysis
Distinguish between micro and macro economics.,Analysis
Distinguish facts from hypotheses,Analysis
"Divide the story into initiating event, rising action, climax, and falling action",Analysis
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
How does your pet differ from other animals?,Analysis
How does...compare/contrast with...?,Analysis
How is . . . similar to . . .?,Analysis
How was life different in your town 100 years ago?,Analysis
How was this similar to . . .?,Analysis
How would this story be different if it had happened in a different country?,Analysis
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analysis
"If your story happened in a foreign land, compare that land to the United States.",Analysis
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
Investigate innovations that can enhance future Olympics.,Analysis
Make a diagnosis or analyze a case study.,Analysis
Select the athlete of the century and analyze why you chose this person.,Analysis
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis
What are the parts or features of...?,Analysis
Distinguish between the following giving suitable examples,Analysis
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis
How does Tdap differ from Td vaccine,Analysis
How does autonomy differ with age,Analysis
In what ways do female offenders differ from male offenders,Analysis
in what ways trajectory patterns differ according to ABC,Analysis
How do psychologists differ in their general attitudes toward third party presence,Analysis
How did Chinese newspapers differ from US,Analysis
How does public health reporting differ today from reporting two years before,Analysis
How does an endorsement differ from a teaching certificate,Analysis
How do we differentiate between genuine buyer and undercover buyer,Analysis
How do we differentiate between an interview and an interrogation?,Analysis
Differentiate between the following terms along with appropriate examples,Analysis
Differentiate the following functions using the quotient rule,Analysis
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis
How would you differentiate obstructive apneas from central apneas,Analysis
How would you differentiate a project from a program,Analysis
How is scientific progress similar to Darwinian evolution according to Kuhn,Analysis
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analysis
In what ways are foxes similar to wolves and dogs,Analysis
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis
Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysis
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
Examine differences between the means of each individual switching factor.,Analysis
Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysis
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysis
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis
Can you distinguish for me between what is reasonably achievable and what are exaggerations,Analysis
Can you distinguish aged rums from unaged rums by smell,Analysis
Can you distinguish pot still rums from column still rums by taste,Analysis
Inspect the pattern of GPS positions relative to the “known” published value,Analysis
How does your agency inspect against its expectation for operators,Analysis
How to inspect and maintain fresh water plumbing systems properly,Analysis
Can you analyze the fractures and determine which should be repaired surgically,Analysis
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysis
How do you analyze a marginally RCT,Analysis
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",Analysis
Contrast the Valles Marineris on Mars with the Grand Canyon,Analysis
How does Hawaii contrast and compare to Florida?,Analysis
Investigate whether or not the system can be solved for x; y; z,Analysis
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
How would you investigate this patient,Analysis
How would you investigate this abnormality,Analysis
What can I do to investigate this problem further,Analysis
how the investigation was undertaken,Analysis
How would you differentiate between heterodox and mainstream,Analysis
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
Can you create new and unusual uses for . . .?,Synthesis
Can you design a . . . to . . .?,Synthesis
Can you develop a proposal which would . . .?,Synthesis
Can you invent another character for the story?,Synthesis
Can you see a possible solution to . . .?,Synthesis
Can you write a new recipe for a tasty dish?,Synthesis
Choose a character. Rewrite a scene from the story from this character's point of view.,Synthesis
Combine any two sports to develop a new Olympic sport.,Synthesis
"Combine elements of drama, music, and dance into a stage presentation.",Synthesis
Compose a class story.,Synthesis
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Synthesis
Compose a rhythm or put new words to a known melody.,Synthesis
Compose a simple rap or rhyme about zoo animals.,Synthesis
Compose music for a frog play.,Synthesis
Compose a complete C program that reads text strings from a text file into a suitable data,Synthesis
Compose a device that would assist an athlete in their training.,Synthesis
Compose an original work which incorporates five common materials in sculpture.,Synthesis
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
Create a chart that compares things that use electricity and things that do NOT use electricity.,Synthesis
Create a new product. Give it a name and plan a marketing campaign.,Synthesis
"Create a new song for the opening line of ""Mary had a little lamb"".",Synthesis
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Synthesis
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
Create an equation to represent the solution to this problem.,Synthesis
Create and perform a play about frogs.,Synthesis
Create plan of local environment by drawing around boxes.,Synthesis
Design a building according to given specifications,Synthesis
design a cost effective strategy to generate reliable data.,Synthesis
Design a machine to perform a specific task.,Synthesis
Design a new animal to live in the jungle.,Synthesis
Design a poster for this book.,Synthesis
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis
Design and make an animal that moves.,Synthesis
Design costumes for the characters.,Synthesis
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
Develop a hypothesis.,Synthesis
Develop a plan for a new Olympic Bid System.,Synthesis
Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
"Develop a way to teach the concept of ""adjectives"".",Synthesis
Develop one plausible ending for all three short stories below.,Synthesis
Devise a new economic system based on the ones that already exist.,Synthesis
Devise plans to market or make artwork more valuable.,Synthesis
Draw a painting that uses various principles of perspective to achieve its effect.,Synthesis
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Synthesis
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Synthesis
Given two opposing theories design an experiment to compare them.,Synthesis
How could we determine the number of pennies in a jar without counting them?,Synthesis
How could you re-write this story with a city setting?,Synthesis
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis
How many ways can you . . .?,Synthesis
How would the U.S.A. be different if the South had won the Civil War?,Synthesis
How would you change the story to create a different ending?,Synthesis
How would you create/design a new...?,Synthesis
How would you restructure the school day to reflect children's developmental needs?,Synthesis
Identify one problem in the book and give an alternate solution one not given by the author.,Synthesis
If you had access to all resources how would you deal with . . .?,Synthesis
Integrate training from several sources to solve a problem.,Synthesis
Invent a machine to do a specific task.,Synthesis
Justify your choice of data structure.,Synthesis
Make a radio announcement that advertise the book. Write it out.,Synthesis
Make up a new language code and write material using it.,Synthesis
Name one character. Rewrite the story from this character's point of view.,Synthesis
Organize this book into three or more sections and give your own subtitle for each section.,Synthesis
Plan a research paper on a given historical topic,Synthesis
Predict the differences of a planet with no seasonal changes.,Synthesis
Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what you would say.,Synthesis
Revise and process to improve the outcome.,Synthesis
Revise how to complete a complex task in order to improve the outcome.,Synthesis
Revises and process to improve the outcome.,Synthesis
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Synthesis
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
"Using information from the book about one of the main characters, rewrite the ending of the book.",Synthesis
What ideas can you add to...?,Synthesis
What might happen if you combined...?,Synthesis
What solutions would you suggest for...?,Synthesis
What would happen if . . .?,Synthesis
What would you predict/infer from...?,Synthesis
Why don’t you devise your own way to deal with . . .?,Synthesis
Why not compose a song about . . .?,Synthesis
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Synthesis
Write a letter to the editor on a social issue of concern to you.,Synthesis
Write a logically organized argument in favor of a given position.,Synthesis
Write a poem about this book.,Synthesis
Write a set of rules to prevent what happened in the story.,Synthesis
Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Synthesis
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Synthesis
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis
How can we combine and abstract facts about a software system to create new knowledge?,Synthesis
How to combine virtual symmetry and symbolic model checking effectively,Synthesis
How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis
how do we devise a way to enforce the laws,Synthesis
can you devise an explicit formula for,Synthesis
Do you devise a systematic approach in order to get larger progressions,Synthesis
Develop and execute a program for this exercise,Synthesis
Develop a network based on the following information: Activity Immediate predecessors,Synthesis
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Synthesis
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluation
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluation
Appraise data in support of a hypothesis.,Evaluation
Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
Are there students who should not use the Cornell method?,Evaluation
Are you a . . . person?,Evaluation
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
Assess the importance of understanding seasonal patters.,Evaluation
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluation
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluation
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluation
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluation
Can you defend your position about . . .?,Evaluation
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluation
Choose and illustrate the two most important events in the story.,Evaluation
Conclude and support which economic system leads to a higher standard of living.,Evaluation
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluation
Critique an experimental design or a research proposal.,Evaluation
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluation
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluation
Decide whether you learned enough about electricity from this book.,Evaluation
Decide which candidate would best fill the position of principal.,Evaluation
Decide which course of action was most effective,Evaluation
Decide which method of solving a problem was most effective,Evaluation
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation
Defend your use of a specific strategy in solving the problem.,Evaluation
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluation
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation
Determine if a character’s actions were heroic,Evaluation
Do you agree...?,Evaluation
Do you think . . . is a good or a bad thing?,Evaluation
Establish criteria for making this choice and defend your final selection.,Evaluation
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
Evaluate appropriate and inappropriate actions of characters.,Evaluation
Evaluate board games and justify why rules are important.,Evaluation
Evaluate the corrosion monitoring needs of a chemical processing plant,Evaluation
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluation
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
Evaluate whether their model is a true representation of the local environment.,Evaluation
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluation
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation
Explain and justify a new budget.,Evaluation
Explain choices made in making recommendations to an end user.,Evaluation
"Given an argument on any position, enumerate the logical fallacies in that argument.",Evaluation
"Given the data available on a research question, take a position and defend it.",Evaluation
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation
"Given the two solutions to the stated programming problem, rate the solutions in terms of efficiency and readability.",Evaluation
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluation
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
How effective are . . .?,Evaluation
How would you decide about...?,Evaluation
How would you feel if . . .?,Evaluation
How would you have handled . . .?,Evaluation
"improved, reformed or rejected?",Evaluation
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
Is there a better solution to . . .?,Evaluation
Judge aesthetic qualities and relationship to future values.,Evaluation
judge the difficulty level for yourself.,Evaluation
Judge the value of . . .?,Evaluation
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluation
Justify and nominate ways to prevent animal extinction.,Evaluation
Justify the title To Kill a Mockingbird .,Evaluation
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation
Place the following in order of priority...,Evaluation
Predict what will happen next in.,Evaluation
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation
Recommend how our classroom or playground could be improved.,Evaluation
Select the best proposal for a proposed water treatment plant.,Evaluation
Select the most effective solution.,Evaluation
suggest ways in which it could have responded more effectively,Evaluation
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluation
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",Evaluation
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluation
Was Hemingway a great American writer? First you will need to define greatness.,Evaluation
What changes to . . . would you recommend?,Evaluation
What criteria would you use to assess the validity of a business contract?,Evaluation
What criteria would you use to assess...?,Evaluation
What do you think about . . .?,Evaluation
What is part of this book did you like best. Tell why you like it?,Evaluation
What is the most important...?,Evaluation
Which of the following actions would probably be least effective in determining the answer?,Evaluation
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",Evaluation
Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluation
Write a list of criteria to judge the Willy raps.,Evaluation
Revise the story and specify the type of audience that would enjoy this book.,Evaluation
Estimate the epicentral coordinates of the earth-quake,Evaluation
Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluation
Estimate expenditure on HIV/AIDS education,Evaluation
Estimate the difficulty of the question,Evaluation
Estimate roughly how long the collision process takes,Evaluation
What do you think is the best thing about coming to Viestal?,Evaluation
What do you think is the mass and why,Evaluation
What do you think are the strengths of using integrated math in your program?,Evaluation
Do you think that this statement conveys the idea that i am trying to portray,Evaluation
How do you think the community should grow or change,Evaluation
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation